MySQL 数据库和表结构初始化完成
✅ 服务器已启动，监听端口: 3000
📡 API地址: http://localhost:3000/api
💾 数据库: MySQL
2026-08-01T11:08:57.421Z - GET /api/health
2026-08-01T11:08:57.792Z - GET /api/adventure-course/level/scene-001-001/questions
2026-08-01T11:10:15.684Z - GET /api/user/stats?userId=76
2026-08-01T11:10:15.688Z - GET /api/user/streak?userId=76
2026-08-01T11:10:15.751Z - GET /api/settings?userId=76
2026-08-01T11:10:15.824Z - GET /api/settings?userId=76
2026-08-01T11:10:16.009Z - POST /api/user/wechat-login
2026-08-01T11:10:19.495Z - GET /api/adventure-course/modules
2026-08-01T11:10:23.029Z - GET /api/adventure-course/module/scene-001/levels
2026-08-01T11:10:26.144Z - GET /api/adventure-course/level/scene-001-001/questions
2026-08-01T11:10:33.450Z - POST /api/adventure-course/level/scene-001-001/submit
2026-08-01T11:10:36.184Z - GET /api/adventure-course/module/scene-001/levels
2026-08-01T11:10:41.228Z - GET /api/adventure-course/level/scene-001-001/questions
2026-08-01T11:10:50.719Z - POST /api/adventure-course/level/scene-001-001/submit
2026-08-01T11:10:52.266Z - GET /api/adventure-course/level/scene-001-002/questions
2026-08-01T11:10:56.600Z - GET /api/adventure-course/module/scene-001/levels
2026-08-01T11:11:02.640Z - GET /api/adventure-course/level/scene-001-002/questions
2026-08-01T11:11:05.978Z - GET /api/adventure-course/module/scene-001/levels
2026-08-01T11:12:45.249Z - GET /api/adventure-course/module/scene-001/levels
2026-08-01T11:12:45.324Z - POST /api/user/wechat-login
2026-08-01T11:12:45.361Z - GET /api/settings?userId=76
2026-08-01T11:13:10.764Z - GET /api/user/stats?userId=76
2026-08-01T11:13:10.798Z - GET /api/user/streak?userId=76
2026-08-01T11:13:10.834Z - GET /api/settings?userId=76
2026-08-01T11:13:13.551Z - GET /api/adventure-course/modules
2026-08-01T11:15:38.913Z - GET /api/user/stats?userId=76
2026-08-01T11:15:38.967Z - GET /api/user/streak?userId=76
2026-08-01T11:15:38.969Z - GET /api/settings?userId=76
2026-08-01T11:15:38.986Z - GET /api/settings?userId=76
2026-08-01T11:15:39.213Z - POST /api/user/wechat-login
2026-08-01T11:17:53.504Z - GET /api/user/stats?userId=76
2026-08-01T11:17:53.513Z - GET /api/user/streak?userId=76
2026-08-01T11:17:53.518Z - GET /api/settings?userId=76
2026-08-01T11:17:53.525Z - GET /api/settings?userId=76
2026-08-01T11:17:53.732Z - POST /api/user/wechat-login
2026-08-01T12:23:51.593Z - GET /api/user/stats?userId=76
2026-08-01T12:23:51.628Z - GET /api/user/streak?userId=76
2026-08-01T12:23:51.643Z - GET /api/settings?userId=76
2026-08-01T12:23:51.685Z - GET /api/settings?userId=76
2026-08-01T12:23:51.687Z - POST /api/user/wechat-login
2026-08-01T12:24:00.248Z - GET /api/adventure-course/modules
2026-08-01T12:26:29.970Z - GET /api/adventure-course/module/scene-001/levels
2026-08-01T12:26:40.537Z - GET /api/adventure-course/level/scene-001-002/questions
2026-08-01T12:26:44.734Z - GET /api/adventure-course/module/scene-001/levels
2026-08-01T12:26:48.297Z - GET /api/adventure-course/modules
2026-08-01T12:27:40.996Z - GET /api/adventure-course/modules
2026-08-01T12:27:41.233Z - POST /api/user/wechat-login
2026-08-01T12:27:41.248Z - GET /api/settings?userId=76
2026-08-01T12:29:16.526Z - GET /api/user/stats?userId=76
2026-08-01T12:29:16.528Z - GET /api/user/streak?userId=76
2026-08-01T12:29:16.548Z - GET /api/settings?userId=76
2026-08-01T12:29:19.005Z - GET /api/user/stats?userId=76
2026-08-01T12:29:19.008Z - GET /api/user/streak?userId=76
2026-08-01T12:29:19.013Z - GET /api/user/profile?userId=76
2026-08-01T12:29:19.016Z - GET /api/statistics?userId=76
2026-08-01T12:29:20.578Z - GET /api/settings?userId=76
2026-08-01T12:31:16.939Z - GET /api/phonetic/progress?userId=1
2026-08-01T12:31:16.954Z - GET /api/phonetic/list
2026-08-01T12:31:16.957Z - GET /api/word/status?userId=76
2026-08-01T12:31:16.960Z - GET /api/grammar/progress?userId=1
2026-08-01T12:31:16.965Z - GET /api/grammar-point/list
2026-08-01T12:31:16.967Z - GET /api/words/count?userId=1
2026-08-01T12:31:16.971Z - GET /api/settings?userId=76
2026-08-01T12:31:17.166Z - POST /api/user/wechat-login
2026-08-01T12:31:26.077Z - GET /api/user/stats?userId=76
2026-08-01T12:31:26.080Z - GET /api/user/streak?userId=76
2026-08-01T12:31:26.829Z - GET /api/settings?userId=76
2026-08-01T12:31:40.387Z - GET /api/adventure-course/modules
2026-08-01T12:35:24.108Z - GET /api/adventure-course/modules
