
> english-learning-server@1.0.0 start
> node index.js

MySQL 数据库和表结构初始化完成
✅ 服务器已启动，监听端口: 3000
📡 API地址: https://localhost:3000/api
💾 数据库: MySQL
2026-08-03T12:56:53.448Z - POST /api/achievement/rewards/use
2026-08-03T12:56:55.142Z - POST /api/achievement/rewards/use
2026-08-03T12:56:55.243Z - GET /api/settings?userId=76
2026-08-03T12:56:55.247Z - GET /api/achievement?userId=76
2026-08-03T12:56:57.015Z - GET /api/achievement?userId=76
2026-08-03T12:56:57.018Z - GET /api/settings?userId=76
2026-08-03T13:00:12.413Z - GET /api/adventure-course/module/scene-002/levels
2026-08-03T13:00:12.972Z - GET /api/settings?userId=76
2026-08-03T13:00:54.065Z - GET /api/adventure-course/modules
2026-08-03T13:00:54.141Z - GET /api/user/stats?userId=76
2026-08-03T13:00:54.145Z - GET /api/user/streak?userId=76
2026-08-03T13:00:54.211Z - GET /api/settings?userId=76
2026-08-03T13:00:54.415Z - GET /api/word/status?userId=76
2026-08-03T13:00:54.503Z - GET /api/settings?userId=76
2026-08-03T13:01:00.758Z - GET /api/adventure-course/modules
2026-08-03T13:01:04.180Z - GET /api/adventure-course/module/scene-002/levels
2026-08-03T13:03:44.883Z - GET /api/adventure-course/level/scene-002-007/questions
2026-08-03T13:03:44.908Z - GET /api/settings?userId=76
2026-08-03T13:03:45.487Z - GET /api/settings?userId=76
2026-08-03T13:03:45.489Z - GET /api/achievement?userId=76
2026-08-03T13:03:46.137Z - GET /api/achievement/rewards?userId=76
2026-08-03T13:05:47.790Z - GET /api/adventure-course/module/scene-002/levels
2026-08-03T13:11:46.428Z - GET /api/adventure-course/module/scene-002/levels
2026-08-03T13:11:47.034Z - GET /api/settings?userId=76
2026-08-03T13:11:53.949Z - GET /api/adventure-course/level/scene-002-007/questions
2026-08-03T13:11:54.066Z - GET /api/settings?userId=76
2026-08-03T13:11:54.315Z - GET /api/achievement?userId=76
2026-08-03T13:11:54.514Z - GET /api/settings?userId=76
2026-08-03T13:11:54.900Z - GET /api/achievement/rewards?userId=76
2026-08-03T13:11:57.411Z - GET /api/speech/tts?text=war&speed=3
2026-08-03T13:12:10.143Z - GET /api/speech/tts?text=offer&speed=3
2026-08-03T13:12:21.959Z - GET /api/speech/tts?text=full&speed=3
2026-08-03T13:12:30.028Z - POST /api/adventure-course/level/scene-002-007/submit
2026-08-03T13:12:30.748Z - GET /api/achievement?userId=76
2026-08-03T13:12:30.768Z - GET /api/settings?userId=76
2026-08-03T13:12:30.787Z - GET /api/achievement?userId=76
2026-08-03T13:12:30.869Z - GET /api/settings?userId=76
2026-08-03T13:12:35.443Z - GET /api/adventure-course/module/scene-002/levels
2026-08-03T13:13:39.675Z - GET /api/adventure-course/level/scene-002-008/questions
2026-08-03T13:13:39.899Z - GET /api/settings?userId=76
2026-08-03T13:13:39.997Z - GET /api/achievement?userId=76
2026-08-03T13:13:40.040Z - GET /api/settings?userId=76
2026-08-03T13:13:40.797Z - GET /api/achievement/rewards?userId=76
2026-08-03T13:14:09.873Z - GET /api/speech/tts?text=view&speed=3
2026-08-03T13:14:26.673Z - GET /api/speech/tts?text=expect&speed=3
2026-08-03T13:14:36.198Z - GET /api/speech/tts?text=ago&speed=3
2026-08-03T13:14:47.350Z - POST /api/adventure-course/level/scene-002-008/submit
2026-08-03T13:14:48.418Z - GET /api/achievement?userId=76
2026-08-03T13:14:48.422Z - GET /api/settings?userId=76
2026-08-03T13:14:48.427Z - GET /api/settings?userId=76
2026-08-03T13:14:48.429Z - GET /api/achievement?userId=76
2026-08-03T13:14:53.680Z - GET /api/settings?userId=76
2026-08-03T13:14:53.683Z - GET /api/adventure-course/level/scene-002-008/questions
2026-08-03T13:14:54.930Z - GET /api/adventure-course/level/scene-002-008/questions
2026-08-03T13:14:54.938Z - GET /api/settings?userId=76
2026-08-03T13:14:55.001Z - GET /api/achievement/rewards?userId=76
2026-08-03T13:14:56.135Z - GET /api/achievement/rewards?userId=76
2026-08-03T13:15:00.793Z - GET /api/speech/tts?text=view&speed=3
2026-08-03T13:15:12.316Z - GET /api/speech/tts?text=expect&speed=3
2026-08-03T13:15:23.838Z - GET /api/speech/tts?text=ago&speed=3
2026-08-03T13:15:44.238Z - POST /api/adventure-course/level/scene-002-008/submit
2026-08-03T13:15:45.614Z - GET /api/achievement?userId=76
2026-08-03T13:15:45.722Z - GET /api/settings?userId=76
2026-08-03T13:15:45.724Z - GET /api/achievement?userId=76
2026-08-03T13:15:45.750Z - GET /api/settings?userId=76
2026-08-03T13:15:56.216Z - GET /api/settings?userId=76
2026-08-03T13:15:56.218Z - GET /api/adventure-course/level/scene-002-009/questions
2026-08-03T13:15:56.596Z - GET /api/achievement?userId=76
2026-08-03T13:15:56.598Z - GET /api/settings?userId=76
2026-08-03T13:15:57.718Z - GET /api/achievement/rewards?userId=76
2026-08-03T13:16:03.221Z - GET /api/speech/tts?text=public&speed=3
2026-08-03T13:16:13.869Z - GET /api/speech/tts?text=read&speed=3
2026-08-03T13:16:40.272Z - GET /api/user/stats?userId=76
2026-08-03T13:16:40.275Z - GET /api/adventure-course/modules
2026-08-03T13:16:40.342Z - GET /api/user/streak?userId=76
2026-08-03T13:16:40.347Z - GET /api/settings?userId=76
2026-08-03T13:16:40.539Z - GET /api/settings?userId=76
2026-08-03T13:16:40.658Z - GET /api/word/status?userId=76
2026-08-03T13:16:57.278Z - GET /api/settings?userId=76
2026-08-03T13:17:04.129Z - GET /api/speech/tts?text=figure&speed=3
2026-08-03T13:17:16.709Z - POST /api/adventure-course/level/scene-002-009/submit
2026-08-03T13:17:17.489Z - GET /api/achievement?userId=76
2026-08-03T13:17:17.602Z - GET /api/settings?userId=76
2026-08-03T13:17:17.625Z - GET /api/achievement?userId=76
2026-08-03T13:17:17.628Z - GET /api/settings?userId=76
2026-08-03T13:17:18.422Z - GET /api/settings?userId=76
2026-08-03T13:17:18.424Z - GET /api/adventure-course/level/scene-002-010/questions
2026-08-03T13:17:18.782Z - GET /api/achievement?userId=76
2026-08-03T13:17:18.787Z - GET /api/settings?userId=76
2026-08-03T13:17:19.353Z - GET /api/achievement/rewards?userId=76
2026-08-03T13:17:21.894Z - GET /api/speech/tts?text=police&speed=3
2026-08-03T13:17:29.336Z - GET /api/speech/tts?text=fall&speed=3
2026-08-03T13:17:40.009Z - GET /api/speech/tts?text=available&speed=3
2026-08-03T13:17:47.320Z - POST /api/adventure-course/level/scene-002-010/submit
2026-08-03T13:17:48.114Z - GET /api/settings?userId=76
2026-08-03T13:17:48.130Z - GET /api/achievement?userId=76
2026-08-03T13:17:48.139Z - GET /api/achievement?userId=76
2026-08-03T13:17:48.141Z - GET /api/settings?userId=76
2026-08-03T13:17:48.532Z - GET /api/settings?userId=76
2026-08-03T13:17:48.534Z - GET /api/adventure-course/level/scene-002-011/questions
2026-08-03T13:17:48.889Z - GET /api/achievement?userId=76
2026-08-03T13:17:48.903Z - GET /api/settings?userId=76
2026-08-03T13:17:49.371Z - GET /api/achievement/rewards?userId=76
2026-08-03T13:17:53.119Z - GET /api/speech/tts?text=control&speed=3
2026-08-03T13:18:04.708Z - GET /api/speech/tts?text=spend&speed=3
2026-08-03T13:18:16.339Z - GET /api/speech/tts?text=remain&speed=3
2026-08-03T13:18:23.912Z - POST /api/adventure-course/level/scene-002-011/submit
2026-08-03T13:18:24.741Z - GET /api/achievement?userId=76
2026-08-03T13:18:24.762Z - GET /api/settings?userId=76
2026-08-03T13:18:24.764Z - GET /api/achievement?userId=76
2026-08-03T13:18:24.799Z - GET /api/settings?userId=76
2026-08-03T13:18:25.186Z - GET /api/adventure-course/level/scene-002-012/questions
2026-08-03T13:18:25.211Z - GET /api/settings?userId=76
2026-08-03T13:18:25.552Z - GET /api/settings?userId=76
2026-08-03T13:18:25.554Z - GET /api/achievement?userId=76
2026-08-03T13:18:26.053Z - GET /api/achievement/rewards?userId=76
2026-08-03T13:18:37.650Z - GET /api/speech/tts?text=sure&speed=3
2026-08-03T13:18:45.075Z - GET /api/speech/tts?text=buy&speed=3
2026-08-03T13:18:59.481Z - GET /api/speech/tts?text=actually&speed=3
2026-08-03T13:19:06.473Z - POST /api/adventure-course/level/scene-002-012/submit
2026-08-03T13:19:07.209Z - GET /api/achievement?userId=76
2026-08-03T13:19:07.230Z - GET /api/settings?userId=76
